id_espn_jogo,data_jogo,status_jogo,id_time,id_time_espn,time,flag_url_time,id_jogador,nome,posicao,titular,camisa,foto_url,APP,G,A,SHOT,SOG,SV,GA,OF,FC,FA,YC,RC,OG,SUB,SHF
760415,2026-06-11T19:00Z,FT,,203,Mexico,,290899,Raúl Rangel,,True,1,https://a.espncdn.com/i/headshots/soccer/players/full/290899.png,1,0,0,0,0,2.0,0,,0,0,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,259975,Johan Vásquez,,True,5,https://a.espncdn.com/i/headshots/soccer/players/full/259975.png,1,0,0,0,0,,0,0.0,0,0,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,224323,César Montes,,True,3,https://a.espncdn.com/i/headshots/soccer/players/full/224323.png,1,0,0,0,0,,0,0.0,2,1,0,1,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,276942,Érik Lira,,True,6,https://a.espncdn.com/i/headshots/soccer/players/full/276942.png,1,0,1,0,0,,0,0.0,0,2,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,132098,Jesús Gallardo,,True,23,https://a.espncdn.com/i/headshots/soccer/players/full/132098.png,1,0,0,2,0,,0,0.0,1,0,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,290414,Israel Reyes,,True,15,https://a.espncdn.com/i/headshots/soccer/players/full/290414.png,1,0,0,1,0,,0,0.0,0,0,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,283827,Álvaro Fidalgo,,True,8,https://a.espncdn.com/i/headshots/soccer/players/full/283827.png,1,0,0,0,0,,0,0.0,0,2,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,303577,Brian Gutiérrez,,True,26,https://a.espncdn.com/i/headshots/soccer/players/full/303577.png,1,0,0,4,0,,0,0.0,2,1,1,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,233075,Julián Quiñones,,True,16,https://a.espncdn.com/i/headshots/soccer/players/full/233075.png,1,1,0,5,2,,0,0.0,1,2,0,0,0,0,0
760415,2026-06-11T19:00Z,FT,,203,Mexico,,194308,Roberto Alvarado,,True,25,https://a.espncdn.com/i/headshots/soccer/players/full/194308.png,1,0,1,0,0,,0,0.0,2,2,0,0,0,0,0
